system,idx,formula,n_atoms,e_total_eV,e_per_atom_eV,enthalpy_eV,enthalpy_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
Bi-Co,0,CoBi2,12,-57.396827697753906,-4.783068974812825,-57.396827697753906,-4.783068974812825,0.0084225079044699,295.7504609782519,converged,0.3333333333333333,0.0613379478454589,0.0741807089911566,False,,,,,,,,,Cubic
Bi-Co,1,CoBi2,12,-57.40715789794922,-4.783929824829102,-57.40715789794922,-4.783929824829102,0.0189711432904005,291.7970332525006,converged,0.3333333333333333,0.0604770978291829,0.0733198589748806,False,,,,,,,,,Orthorhombic
Bi-Co,2,CoBi2,12,-58.122589111328125,-4.843549092610677,-58.122589111328125,-4.843549092610677,0.0183158759027719,283.0009284983699,converged,0.3333333333333333,0.0008578300476074,0.0137005911933051,True,,,,,-74.8441285346691,-26.949638090426156,0.0,0.0,Orthorhombic
Bi-Co,3,Co2Bi,18,-103.81676483154295,-5.767598046196832,-103.81676483154295,-5.767598046196832,0.0192625671625137,324.65147371783866,converged,0.6666666666666666,0.1654043462541368,0.1718257268269857,False,,,,,,,,,Monoclinic
Bi-Co,4,Co7Bi13,20,-95.7143096923828,-4.785715484619141,-95.7143096923828,-4.785715484619141,0.0194114241749048,472.5286449303684,converged,0.35,0.113121211528778,0.1256429036458333,False,,,,,,,,,Triclinic
Bi-Co,5,CoBi,8,-41.480838775634766,-5.185104846954346,-41.480838775634766,-5.185104846954346,0.0195988714694976,163.66775385967406,converged,0.5,0.2035998106002807,0.213231881459554,False,,,,,,,,,Orthorhombic
Bi-Co,6,Co2Bi3,10,-49.81525802612305,-4.981525802612305,-49.81525802612305,-4.981525802612305,0.01227309089154,219.92298017359877,converged,0.4,0.0806002140045166,0.0921586990356445,False,,,,,,,,,Trigonal
Bi-Co,7,CoBi,8,-42.277381896972656,-5.284672737121582,-42.277381896972656,-5.284672737121582,0.0131971538066864,153.76018486183912,converged,0.5,0.1040319204330444,0.1136639912923177,False,,,,,,,,,Hexagonal
Bi-Co,8,Co5Bi4,18,-97.28958892822266,-5.404977162679036,-97.28958892822266,-5.404977162679036,0.0183370374143123,350.98629213850694,converged,0.5555555555555556,0.1651600731743706,0.1737219139381691,False,,,,,,,,,Triclinic
Bi-Co,9,Co2Bi3,5,-24.691577911376953,-4.938315582275391,-24.691577911376953,-4.938315582275391,0.0175452660769224,113.4560148849472,converged,0.4,0.1238104343414306,0.1353689193725586,False,,,,,,,,,Trigonal
Bi-Co,10,CoBi,4,-21.138717651367188,-5.284679412841797,-21.138717651367188,-5.284679412841797,0.0061294501647353,76.85509906406725,converged,0.5,0.1040252447128295,0.1136573155721028,False,,,,,,,,,Hexagonal
Bi-Co,11,Co7Bi11,18,-88.37578582763672,-4.909765879313151,-88.37578582763672,-4.909765879313151,0.0180384889245033,422.0476720117968,converged,0.3888888888888889,0.1160736216439141,0.127846152694137,False,,,,,,,,,Triclinic
Bi-Co,12,CoBi,4,-20.5609130859375,-5.140228271484375,-20.5609130859375,-5.140228271484375,0.006225018762052,88.22318554653363,converged,0.5,0.2484763860702514,0.2581084569295247,False,,,,,,,,,Tetragonal
Bi-Co,13,CoBi2,12,-57.74053955078125,-4.8117116292317705,-57.74053955078125,-4.8117116292317705,0.0117514263838529,278.73534092060595,converged,0.3333333333333333,0.0326952934265136,0.0455380545722113,False,,,,,-73.92717294038717,-35.865281314853,0.0,0.0,Monoclinic
Bi-Co,14,Co3Bi2,10,-55.80980682373047,-5.580980682373047,-55.80980682373047,-5.580980682373047,0.0186626594513654,190.3467204693736,converged,0.6,0.1343026161193847,0.1420082728068034,False,,,,,,,,,Monoclinic
Bi-Co,15,Co2Bi3,10,-49.815155029296875,-4.981515502929687,-49.815155029296875,-4.981515502929687,0.0057093333452939,219.7857177861581,converged,0.4,0.0806105136871337,0.0921689987182617,False,,,,,,,,,Trigonal
Bi-Co,16,CoBi,4,-21.138721466064453,-5.284680366516113,-21.138721466064453,-5.284680366516113,0.0066868755966424,76.86123456824902,converged,0.5,0.1040242910385131,0.1136563618977864,False,,,,,,,,,Hexagonal
Bi-Co,17,CoBi,8,-41.73785781860352,-5.2172322273254395,-41.73785781860352,-5.2172322273254395,0.0121336877346038,150.5410299888687,converged,0.5,0.171472430229187,0.1811045010884603,False,,,,,,,,,Orthorhombic
Bi-Co,18,Co5Bi4,18,-96.48101806640624,-5.360056559244792,-96.48101806640624,-5.360056559244792,0.01633295789361,341.7779452550796,converged,0.5555555555555556,0.2100806766086154,0.2186425173724139,False,,,,,,,,,Monoclinic
Bi-Co,19,Co8Bi11,19,-94.88509368896484,-4.9939522994192025,-94.88509368896484,-4.9939522994192025,0.0170000903308391,455.9163938811613,converged,0.4210526315789473,0.1369271152897885,0.1480800394426312,False,,,,,,,,,Triclinic
Bi-Fe,0,Fe7Bi13,20,-104.59165954589844,-5.229582977294922,,,0.0151765653863549,507.9864070507689,converged,0.35,0.1748544096946716,0.1748544096946716,False,,,,,-58.842465714003936,-21.68592997232412,0.0,0.0,Triclinic
Bi-Fe,1,FeBi,4,-23.52783966064453,-5.881959915161133,,,0.0108779864385724,85.43185348599977,converged,0.5,0.2290314435958862,0.2290314435958862,False,,,,,-68.75478099059603,-26.25937800366531,0.0,0.0,Tetragonal
Bi-Fe,2,Fe2Bi,18,-118.11009979248048,-6.561672210693359,,,0.0183941330760717,321.60929583246883,converged,0.6666666666666666,0.3343791166941325,0.3343791166941325,False,,,,,,,,,Triclinic
Bi-Fe,3,FeBi,4,-23.2027530670166,-5.80068826675415,,,0.006244066171348,83.58327923518044,converged,0.5,0.3103030920028686,0.3103030920028686,False,,,,,,,,,Hexagonal
Bi-Fe,4,FeBi4,15,-67.81840515136719,-4.521227010091146,,,0.0143024642020463,442.53391452661634,converged,0.2,0.1766564051310221,0.1766564051310221,False,,,,,-46.57132005134086,-21.40745042198718,0.0,0.0,Trigonal
Bi-Fe,5,FeBi2,6,-30.375988006591797,-5.0626646677653,,,0.0116251548752188,136.85099880473763,converged,0.3333333333333333,0.2632667223612467,0.2632667223612467,False,,,,,,,,,Tetragonal
Bi-Fe,6,FeBi2,12,-60.052303314208984,-5.004358609517415,,,0.1259239315986633,312.35374624620545,max_steps,0.3333333333333333,0.3215727806091308,0.3215727806091308,False,,,,,,,,,Orthorhombic
Bi-Fe,7,FeBi5,18,-78.46002197265625,-4.358890109592014,,,0.017387481406331,519.2844480377628,converged,0.1666666666666666,0.1819813119040595,0.1819813119040595,False,,,,,-48.74962546129752,-10.365439291569643,0.0,0.0,Triclinic
Bi-Fe,8,FeBi2,12,-59.64469146728515,-4.970390955607097,,,0.0176409687846899,283.22826435218246,converged,0.3333333333333333,0.3555404345194499,0.3555404345194499,False,,,,,,,,,Orthorhombic
Bi-Fe,9,FeBi4,10,-45.242313385009766,-4.524231338500977,,,0.0163206569850444,273.562978956916,converged,0.2,0.1736520767211914,0.1736520767211914,False,,,,,-56.943324500092274,-18.85656116657211,0.0,0.0,Orthorhombic
Bi-Fe,10,Fe2Bi3,5,-26.76711082458496,-5.353422164916992,,,0.0150487869977951,112.81465539312224,converged,0.4,0.2865332126617431,0.2865332126617431,False,,,,,,,,,Orthorhombic
Bi-Fe,11,FeBi4,5,-22.274688720703125,-4.454937744140625,,,0.0160528179258108,138.84673973906715,converged,0.2,0.2429456710815429,0.2429456710815429,False,,,,,,,,,Tetragonal
Bi-Mn,0,MnBi2,12,-64.88334655761719,-5.406945546468099,,,0.0177502371370792,312.6969718491806,converged,0.3333333333333333,-1.0637129147847493,0.0334752996762595,False,,,,,,,,,Monoclinic
Bi-Mn,1,MnBi,8,-50.2517204284668,-6.28146505355835,,,0.0125315384939312,184.84267450570877,converged,0.5,-1.6445218324661257,0.0012604892253877,True,,,,,-47.34166442709183,-26.086707937575945,0.0,0.0,Hexagonal
Bi-Mn,2,Mn4Bi3,14,-93.0119857788086,-6.643713269914899,,,0.0150468898937106,295.71759287550236,converged,0.5714285714285714,-1.880894081933158,0.0,True,,,,,-82.24256399655548,-31.14266912016831,0.0,0.0,Monoclinic
Bi-Mn,3,MnBi2,12,-65.12147521972656,-5.42678960164388,,,0.0068945093080401,321.5384940939549,converged,0.3333333333333333,-1.0835569699605303,0.0136312445004782,True,,,,,,,,,Cubic
Bi-Mn,4,MnBi,4,-25.125822067260746,-6.2814555168151855,,,0.0141922663897275,92.53286631096468,converged,0.5,-1.6445122957229614,0.0012700259685518,True,,,,,-46.89776208198166,-27.03676841024744,0.0,0.0,Hexagonal
Bi-Mn,5,MnBi,4,-25.125770568847656,-6.281442642211914,,,0.0190519168972969,92.5650978395468,converged,0.5,-1.64449942111969,0.0012829005718233,True,,,,,-46.79745925213904,-26.549324809913298,0.0,0.0,Hexagonal
Bi-Mn,6,MnBi,4,-25.125707626342773,-6.281426906585693,,,0.0081787900999188,92.50626645283128,converged,0.5,-1.6444836854934692,0.001298636198044,True,,,,,-44.15405407620054,-23.98788626494293,0.0,0.0,Hexagonal
Bi-Mn,7,Mn2Bi3,10,-57.38896942138672,-5.7388969421386715,,,0.0159158334136009,259.9862405983918,converged,0.4,-1.2781800746917724,0.0384457826614381,False,,,,,,,,,Trigonal
Bi-Mn,8,Mn5Bi7,12,-70.1581802368164,-5.8465150197347,,,0.0194263625890016,300.4156475813427,converged,0.4166666666666667,-1.3564270933469136,0.0150581747293474,True,,,,,,,,,Monoclinic
Bi-Mn,9,MnBi6,7,-31.11429214477539,-4.4448988778250555,,,0.0170748867094516,220.83893256896835,converged,0.1428571428571428,-0.4373354911804199,0.0328880293028696,False,,,,,,,,,Monoclinic
Bi-Mn,10,Mn3Bi13,16,-74.86298370361328,-4.67893648147583,,,0.0142118912190198,472.8228688247338,converged,0.1875,-0.5927006155252457,0.0244677551090718,True,,,,,,,,,Trigonal
Bi-Mn,11,MnBi2,9,-48.33702087402344,-5.370780097113715,,,0.018523558974266,246.4209797045279,converged,0.3333333333333333,-1.0275474654303656,0.0696407490306432,False,,,,,,,,,Orthorhombic
Bi-Ru,0,Bi2Ru,12,-65.34435272216797,-5.445362726847331,,,0.019432209432125,282.49808282021183,converged,0.3333333333333333,0.1446201006571451,0.1466878255208333,False,,,,,,,,,Orthorhombic
Bi-Ru,1,Bi3Ru,16,-82.1402587890625,-5.133766174316406,,,0.0158227086067199,460.2933103435284,converged,0.25,-0.0023261904716491,0.0,True,,,,,-61.12680270938958,-18.67954655413582,0.0,0.0,Monoclinic
Bi-Ru,2,BiRu,4,-25.19804573059082,-6.299511432647705,,,0.0199530851095914,86.00400881495909,converged,0.5,0.2075570821762085,0.2091078758239746,False,,,,,,,,,Hexagonal
Bi-Ru,3,Bi3Ru2,10,-58.548187255859375,-5.854818725585938,,,0.0196809917688369,240.36137963067551,converged,0.4,0.1019983768463134,0.1038593292236328,False,,,,,-102.24998375625296,-43.103809753173465,0.0,0.0,Monoclinic
Bi-Ru,4,Bi2Ru,12,-65.34441375732422,-5.445367813110352,,,0.0172382872551679,282.1915374046505,converged,0.3333333333333333,0.1446150143941243,0.1466827392578125,False,,,,,,,,,Orthorhombic
Bi-Ru,5,Bi2Ru,6,-33.184364318847656,-5.530727386474609,,,0.0162879414856433,135.87120440934945,converged,0.3333333333333333,0.0592554410298665,0.0613231658935546,False,,,,,-90.70930992840792,-33.182150823892,0.0,0.0,Tetragonal
Bi-Ru,6,Bi4Ru5,9,-59.84819412231445,-6.649799346923828,,,0.0149428881704807,198.79375184464195,converged,0.5555555555555556,0.1629643970065646,0.1643428802490234,False,,,,,,,,,Tetragonal
Bi-Ru,7,Bi13Ru3,16,-75.90444946289062,-4.744028091430664,,,0.017538757994771,461.8376149895597,converged,0.1875,0.0435047596693038,0.0452494025230407,False,,,,,-71.19807106607439,-27.449168398332624,0.0,0.0,Triclinic
Bi-Ru,8,Bi3Ru,4,-20.172195434570312,-5.043048858642578,,,0.0167342517524957,104.8581199502982,converged,0.25,0.0883911252021789,0.0907173156738281,False,,,,,-71.35806666456601,-22.79949513768555,0.0,0.0,Orthorhombic
Bi-Ru,9,Bi4Ru5,9,-59.847900390625,-6.649766710069445,,,0.0125602148473262,198.5810301576155,converged,0.5555555555555556,0.1629970338609483,0.1643755171034071,False,,,,,,,,,Tetragonal
Bi-Ru,10,BiRu3,4,-29.398590087890625,-7.349647521972656,,,0.0107878120616078,65.95462771805323,converged,0.75,0.5330495238304138,0.5338249206542969,False,,,,,,,,,Tetragonal
Bi-Ru,11,Bi7Ru5,12,-69.85562133789062,-5.821301778157552,,,0.016594972461462,268.35962370401415,converged,0.4166666666666667,0.2272238930066426,0.2290331522623698,False,,,,,,,,,Monoclinic
Co-Bi,0,Co3Bi2,5,-27.30506706237793,-5.461013412475586,,,0.0130304852500557,86.39740619682739,converged,0.4,0.2542698860168457,0.261974016825358,False,,,,,,,,,Hexagonal
Co-Bi,1,Co5Bi6,11,-56.237022399902344,-5.112456581809304,,,0.0188928414136171,257.3964990925007,converged,0.5454545454545454,0.127803238955411,0.1383088718761097,False,,,,,,,,,Orthorhombic
Co-Bi,2,CoBi,4,-20.7040958404541,-5.176023960113525,,,0.009345481172204,80.93937857349215,converged,0.5,0.212680697441101,0.2223108609517415,False,,,,,,,,,Tetragonal
Co-Bi,3,CoBi,12,-63.07166290283203,-5.255971908569336,,,0.0187026616185903,257.6204937693248,converged,0.5,0.1327327489852905,0.142362912495931,False,,,,,,,,,Monoclinic
Co-Bi,4,CoBi3,8,-36.13154602050781,-4.516443252563477,,,0.0180701445788145,219.1527870094208,converged,0.75,0.0558148026466369,0.0702600479125976,False,,,,,-58.916482137586485,-21.797630014199108,0.0,0.0,Triclinic
Co-Bi,5,Co3Bi4,7,-35.43610382080078,-5.062300545828683,,,0.0086183585226535,149.70532271927328,converged,0.5714285714285714,0.0931336539132254,0.1041395550682431,False,,,,,-79.72989122014839,-35.706562783281626,0.0,0.0,Monoclinic
Co-Bi,6,Co8Bi5,13,-71.45046997070312,-5.496189997746394,,,0.0184366963803768,258.796328213433,converged,0.3846153846153846,0.2693361685826228,0.2767439866677308,False,,,,,,,,,Trigonal
Co-Bi,7,Co2Bi3,5,-24.492958068847656,-4.898591613769531,,,0.0068701994605362,118.97326893191465,converged,0.6,0.16353440284729,0.1750905990600585,False,,,,,,,,,Orthorhombic
Co-Bi,8,CoBi3,16,-73.38725280761719,-4.586703300476074,,,0.010726423934102,432.86336225220185,converged,0.75,-0.0144452452659606,0.0,True,,,,,-61.34554398628491,-28.40383466229576,0.0,0.0,Cubic
Co-Bi,9,Co2Bi,12,-68.1793441772461,-5.681612014770508,,,0.0144993467256426,191.71104470885905,converged,0.3333333333333333,0.2513903776804606,0.2578104866875543,False,,,,,,,,,Orthorhombic
Co-Bi,10,Co2Bi3,10,-49.81525802612305,-4.981525802612305,,,0.015282928943634,220.25224461576735,converged,0.6,0.0806002140045166,0.0921564102172851,False,,,,,-72.43517598996544,-34.3062357172562,0.0,0.0,Trigonal
Co-Bi,11,Co2Bi3,10,-49.81453704833984,-4.981453704833984,,,0.0139578152447938,219.8243631580732,converged,0.6,0.0806723117828369,0.0922285079956054,False,,,,,-79.75917358266648,-36.53063792725513,0.0,0.0,Trigonal
Co-Sb,0,Co2Sb3,10,-54.38358688354492,-5.4383586883544925,,,0.0176506657153368,196.61685227780148,converged,0.6,-0.1960607528686523,0.0491508483886718,False,,,,,,,,,Trigonal
Co-Sb,1,Co2Sb,9,-54.15129089355469,-6.0168100992838545,,,0.0184080619364976,131.5879546601968,converged,0.3333333333333333,0.0162878036499023,0.1761420567830403,False,,,,,,,,,Monoclinic
Co-Sb,2,CoSb,8,-46.22894287109375,-5.778617858886719,,,0.0181776117533445,135.30970343335025,converged,0.5,-0.2397699356079101,1.1444091796875e-05,True,,,,,-141.29108844466128,-68.98979541459471,0.0,0.0,Orthorhombic
Co-Sb,3,CoSb3,8,-39.66009521484375,-4.957511901855469,,,0.0168985947966575,183.70632715368615,converged,0.75,-0.160038948059082,0.0265848636627197,False,,,,,-102.95982807921855,-49.46086802257209,0.0,0.0,Trigonal
Co-Sb,4,Co5Sb4,9,-50.87971878051758,-5.6533020867241754,,,0.0184263586997985,179.10975566892466,converged,0.4444444444444444,0.0502958297729492,0.2634348339504666,False,,,,,,,,,Monoclinic
Co-Sb,5,CoSb,8,-46.228904724121094,-5.778613090515137,,,0.0188856720924377,135.2923230976053,converged,0.5,-0.2397651672363281,1.621246337890625e-05,True,,,,,-121.46617334229842,-63.24629518412013,0.0,0.0,Hexagonal
Co-Sb,6,Co3Sb2,5,-29.507488250732425,-5.901497650146484,,,0.0050111189484596,83.52327930407826,converged,0.4,-0.066099739074707,0.1257253646850586,False,,,,,,,,,Tetragonal
Co-Sb,7,Co3Sb4,7,-38.64045333862305,-5.520064762660435,,,0.0165013596415519,133.26380873975452,converged,0.5714285714285714,-0.1930382592337472,0.0506218501499721,False,,,,,,,,,Monoclinic
Co-Sb,8,CoSb2,12,-63.52115631103515,-5.293429692586263,,,0.0204946547746658,251.1482015062416,max_steps,0.6666666666666666,-0.2488317489624023,0.0,True,,,,,-111.66074344469656,-58.56850744581867,0.0,0.0,Orthorhombic
Co-Sb,9,Co7Sb4,11,-65.2463607788086,-5.931487343528054,,,0.018955172970891,168.13670186737144,converged,0.3636363636363636,0.0117469267411665,0.1861333847045898,False,,,,,,,,,Orthorhombic
Co-Sb,10,CoSb,8,-46.229034423828125,-5.778629302978516,,,0.0123426355421543,135.24547117939247,converged,0.5,-0.239781379699707,0.0,True,,,,,-126.04338743034396,-62.376194182723225,0.0,0.0,Orthorhombic
Co-Sb,11,Co2Sb3,5,-26.489198684692383,-5.297839736938476,,,0.0111575843766331,105.89349974932678,converged,0.6,-0.0555418014526367,0.1896697998046875,False,,,,,,,,,Orthorhombic
Co-Si,0,Co2Si3,10,-63.89031600952149,-6.389031600952149,,,0.0171972997486591,123.00739258815062,converged,0.6,-0.3316705703735351,0.1233348846435546,False,,,,,,,,,Monoclinic
Co-Si,1,Co5Si6,11,-72.72879791259766,-6.611708901145241,,,0.017356239259243,133.9190688472463,converged,0.5454545454545454,-0.4666899767788974,0.0382628007368607,False,,,,,,,,,Triclinic
Co-Si,2,CoSi,4,-26.377111434936523,-6.594277858734131,,,0.0180220697075128,50.64596049744606,converged,0.5,-0.3762106895446777,0.1703648567199707,False,,,,,,,,,Hexagonal
Co-Si,3,Co3Si2,10,-68.11180877685547,-6.811180877685547,,,0.0194520819932222,108.4085954738066,converged,0.4,-0.4324075698852539,0.0548492431640625,False,,,,,,,,,Orthorhombic
Co-Si,4,Co2Si3,10,-65.12366485595703,-6.512366485595703,,,0.0186665020883083,121.60696360995368,converged,0.6,-0.4550054550170898,0.0,True,,,,,-192.49635057992128,-84.96854678844785,0.0,0.0,Trigonal
Co-Si,5,Co2Si,9,-62.40259552001953,-6.933621724446614,,,0.0146526051685214,96.83054853713628,converged,0.3333333333333333,-0.4477109909057617,0.0,True,,,,,-197.6538993903907,-88.10669058450104,0.0,0.0,Hexagonal
Co-Si,6,CoSi3,12,-70.90248107910156,-5.90854008992513,,,0.0163326077163219,170.37270991191735,converged,0.75,-0.0922382672627766,0.1921401421229044,False,,,,,,,,,Monoclinic
Co-Si,7,CoSi,4,-27.058570861816406,-6.764642715454102,,,0.0118120880797505,43.773130065602984,converged,0.5,-0.5465755462646484,0.0,True,,,,,-210.00556444471783,-106.1473494042549,0.0,0.0,Monoclinic
Co-Si,8,CoSi,4,-27.05853843688965,-6.764634609222412,,,0.0058975163847208,43.75871300125882,converged,0.5,-0.546567440032959,8.106231689453125e-06,True,,,,,-218.5536026825091,-109.9413717886224,0.0,0.0,Monoclinic
Co-Si,9,Co2Si,6,-41.34151840209961,-6.890253067016602,,,0.0088156731799244,68.19741422465763,converged,0.3333333333333333,-0.4043423334757487,0.043368657430013,False,,,,,,,,,Tetragonal
Co-Si,10,Co5Si,6,-41.90278244018555,-6.983797073364258,,,0.0159465316683053,64.00990588414909,converged,0.1666666666666666,-0.2300427754720052,0.0,True,,,,,-231.71509581806973,-110.06492609432048,0.0,0.0,Orthorhombic
Co-Si,11,CoSi2,12,-74.82762908935547,-6.235635757446289,,,0.0107157649472355,162.93521383758207,converged,0.6666666666666666,-0.2854121526082356,0.0937590599060059,False,,,,,,,,,Trigonal
